Any;mes;dia;C_HORA_TRUCADA;D_COORD_GEO_IMPACTE
2014;6;10;99;29271127 82211516
2013;11;28;99;77
2013;10;20;99;31362986 83823852
2014;12;29;99;30995787 82482065
2014;6;19;99;31139439 83159727
2014;3;12;99;33363713 85288324
2014;7;24;99;33976180 84665144
2013;6;19;99;28763736 82911399
2014;8;13;99;77
2014;6;19;99;77
2013;8;21;99;33139925 82317677
2014;12;22;99;77
2014;4;20;99;28150923 76207351
2013;1;18;99;32144406 86022623
2014;9;12;99;27964571 83473933
2014;10;26;99;30917704 83649300
2013;7;23;99;77
2013;6;25;99;31462230 83011005
2014;10;27;99;32536563 83509150
2013;12;8;99;77
2013;7;22;99;30647442 80914200
2013;6;1;99;31833056 83764127
2013;1;25;99;29456688 81656008
2013;12;30;99;27567937 79909512
2013;7;15;99;30802286 83722627
2013;7;3;99;30938755 83492810
2014;4;15;99;28151459 83281898
2014;9;29;99;27198867 84128124
2014;11;30;99;30689163 82861470
2014;1;8;99;77
2013;5;17;99;26673139 86559828
2014;4;25;99;77
2013;11;3;99;28587358 80603316
2014;1;28;99;77
2013;7;3;99;30711011 83816498
2014;6;16;99;27612457 85321767
2013;11;14;99;31424543 81074877
2013;2;9;99;77
2013;4;30;99;27962833 79776298
2014;12;17;99;33614829 83025921
2014;11;16;99;29611486 83004758
2014;6;31;99;30106833 82674887
2014;5;25;99;29330363 86336557
2013;12;20;99;77
2013;11;16;99;31357440 86812509
2013;6;14;99;31140216 83174876
2014;5;30;99;29588833 83247541
2013;12;11;99;77
2013;10;3;99;77
2013;6;14;99;30488801 82871252
2013;4;13;99;77
2014;3;21;99;31793401 81557688
2014;12;15;99;29064415 81632034
2013;8;24;99;31956758 86923999
2013;3;18;99;31495410 81848431
2014;7;14;99;27133028 84219823
2014;3;20;99;29691209 88046508
2014;7;6;99;28609366 78010139
2014;7;22;99;77
2014;1;16;99;77
2014;7;18;99;30346999 80390433
2014;1;7;99;77
2013;10;13;99;26653199 83905614
2013;10;4;99;28792745 79898084
2014;3;18;99;29853336 81837567
2014;3;12;99;32786413 85105046
2014;2;14;99;30519119 82504086
2014;12;2;99;30308349 83055851
2014;10;25;99;32493082 89705136
2013;4;18;99;33287442 88050401
2014;12;2;99;77
2013;2;28;13,15;28676887 81283850
2013;11;1;99;27760375 83569605
2014;12;29;99;29981371 82548303
2013;12;5;99;25039236 81801153
2013;8;29;99;27238067 83486016
2013;5;2;99;77
2014;3;24;99;28897485 80913936
2013;2;16;99;28012230 76228123
2014;7;19;99;77
2013;5;24;99;30615211 83724242
2014;4;19;99;77
2014;1;18;99;31950642 87757938
2014;1;14;99;34178374 84458658
2013;12;14;11,4;33360853 83374135
2014;2;25;99;77
2014;7;4;99;77
2014;3;20;99;29283356 87468444
2014;4;3;99;77
2014;6;25;99;30701264 84960707
2013;1;14;99;77
2013;6;9;99;28043509 84061308
2013;5;5;99;29560165 79597310
2014;6;5;99;30262413 84132746
2013;3;27;99;27479811 81002777
2013;6;17;99;28691441 87164876
2013;3;8;99;77
2014;2;29;99;26000379 83793534
2014;12;12;99;25791271 81237691
2014;10;8;99;28608572 87015823
2013;10;13;99;31449420 86214524
2014;6;30;99;33413724 82841174
2013;2;18;99;30781906 82744171
2014;6;24;99;28307881 83513016
2013;6;14;99;30148790 82527746
2014;7;11;99;31059129 84222811
2013;10;3;99;30124601 81710674
2014;10;25;99;31854769 88870244
2013;3;23;99;27475896 82725261
2014;6;4;99;31076698 83031410
2013;11;12;99;27153833 80849255
2013;3;13;99;30729280 83269696
2013;10;5;99;31191641 86542949
